,SoBD,Toan,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,Unnamed: 10,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1,Ma Tinh,Ten Tinh,Vung mien
119959,119960,4.0,3.25,3.2,2.0,2.5,3.75,2.75,3.0,6.0,,8.5,10.25,9.0,10.45,9.2,21, Hai Duong,Mien Bac
119963,119964,2.4,5.75,3.8,2.25,2.5,3.5,3.25,4.75,5.0,,7.15,8.4,13.75,11.95,8.45,21, Hai Duong,Mien Bac
119968,119969,4.2,5.0,3.0,2.25,2.0,2.75,3.25,5.25,6.5,,8.45,8.95,13.5,12.2,9.45,21, Hai Duong,Mien Bac
119987,119988,7.2,5.25,5.2,7.75,4.5,2.75,2.5,7.0,6.5,,19.45,14.45,14.75,17.65,20.15,21, Hai Duong,Mien Bac
120032,120033,4.8,4.0,2.6,2.5,4.75,2.0,4.25,4.75,6.75,,12.05,11.55,13.0,11.4,9.9,21, Hai Duong,Mien Bac
120033,120034,7.2,6.5,4.6,4.75,3.5,4.25,4.0,5.75,7.25,,15.45,14.95,16.25,18.3,16.55,21, Hai Duong,Mien Bac
120034,120035,6.0,3.75,2.6,5.25,3.75,2.25,2.5,3.5,5.25,,15.0,12.0,9.75,12.35,13.85,21, Hai Duong,Mien Bac
120037,120038,4.6,6.0,3.0,2.25,2.75,3.25,3.75,4.75,8.25,,9.6,10.6,14.5,13.6,9.85,21, Hai Duong,Mien Bac
120040,120041,6.6,8.25,2.2,3.5,6.0,6.75,2.25,4.5,7.0,,16.1,19.35,15.0,17.05,12.3,21, Hai Duong,Mien Bac
120044,120045,5.2,5.5,2.6,3.75,4.25,3.75,4.5,5.25,5.75,,13.2,13.2,15.25,13.3,11.55,21, Hai Duong,Mien Bac
120049,120050,5.6,7.0,2.6,4.25,3.25,4.0,5.0,5.5,6.5,,13.1,12.85,17.5,15.2,12.45,21, Hai Duong,Mien Bac
120176,120177,4.6,2.75,3.0,2.0,2.75,5.75,1.5,5.25,6.25,,9.35,13.1,9.5,10.35,9.6,21, Hai Duong,Mien Bac
120178,120179,4.6,6.75,2.6,2.0,4.25,2.75,3.5,5.75,8.25,,10.85,11.6,16.0,13.95,9.2,21, Hai Duong,Mien Bac
120180,120181,4.0,6.5,2.6,2.0,2.5,2.5,3.5,4.25,6.75,,8.5,9.0,14.25,13.1,8.6,21, Hai Duong,Mien Bac
120192,120193,3.8,6.0,2.0,2.5,2.75,4.0,4.5,5.5,7.25,,9.05,10.55,16.0,11.8,8.3,21, Hai Duong,Mien Bac
120193,120194,6.4,7.0,2.4,5.0,4.5,3.5,3.5,5.75,8.5,,15.9,14.4,16.25,15.8,13.8,21, Hai Duong,Mien Bac
120198,120199,3.6,6.25,2.8,3.0,3.25,2.0,4.0,4.5,6.5,,9.85,8.85,14.75,12.65,9.4,21, Hai Duong,Mien Bac
120199,120200,3.4,3.25,2.2,2.25,3.5,3.75,2.75,5.5,6.75,,9.15,10.65,11.5,8.85,7.85,21, Hai Duong,Mien Bac
120201,120202,3.8,4.25,2.8,2.5,3.25,4.5,3.75,6.25,6.5,,9.55,11.55,14.25,10.85,9.1,21, Hai Duong,Mien Bac
120202,120203,3.6,7.25,2.6,2.75,2.5,4.0,3.25,6.25,7.0,,8.85,10.1,16.75,13.45,8.95,21, Hai Duong,Mien Bac
120203,120204,2.8,5.0,1.4,3.25,3.0,2.0,2.25,4.75,7.0,,9.05,7.8,12.0,9.2,7.45,21, Hai Duong,Mien Bac
120204,120205,2.4,3.25,1.6,3.25,2.0,2.25,2.75,4.75,7.75,,7.65,6.65,10.75,7.25,7.25,21, Hai Duong,Mien Bac
120207,120208,3.6,5.25,2.6,2.75,1.5,2.75,2.25,3.75,7.25,,7.85,7.85,11.25,11.45,8.95,21, Hai Duong,Mien Bac
120208,120209,3.4,6.0,4.0,3.0,3.0,4.75,3.25,3.5,6.5,,9.4,11.15,12.75,13.4,10.4,21, Hai Duong,Mien Bac
120210,120211,2.4,4.5,2.4,1.75,2.75,3.5,3.5,4.75,6.25,,6.9,8.65,12.75,9.3,6.55,21, Hai Duong,Mien Bac
120211,120212,2.8,2.5,2.2,1.75,1.75,5.25,2.75,3.5,4.25,,6.3,9.8,8.75,7.5,6.75,21, Hai Duong,Mien Bac
120213,120214,2.2,1.75,2.6,1.5,2.5,3.0,3.5,3.0,2.0,,6.2,7.7,8.25,6.55,6.3,21, Hai Duong,Mien Bac
120220,120221,3.4,4.25,1.4,1.5,3.25,3.25,3.25,4.5,6.75,,8.15,9.9,12.0,9.05,6.3,21, Hai Duong,Mien Bac
120222,120223,3.8,7.0,2.8,2.75,2.75,3.75,3.75,6.25,7.75,,9.3,10.3,17.0,13.6,9.35,21, Hai Duong,Mien Bac
120223,120224,2.8,3.5,2.6,2.75,2.25,3.0,3.25,3.5,6.25,,7.8,8.05,10.25,8.9,8.15,21, Hai Duong,Mien Bac
120225,120226,5.8,7.0,5.4,5.5,5.75,4.0,2.5,6.5,7.25,,17.05,15.55,16.0,18.2,16.7,21, Hai Duong,Mien Bac
120227,120228,3.6,5.75,2.6,2.25,4.5,3.25,3.0,4.0,5.25,,10.35,11.35,12.75,11.95,8.45,21, Hai Duong,Mien Bac
120230,120231,3.4,5.25,3.2,1.75,3.25,2.25,2.0,3.25,7.5,,8.4,8.9,10.5,11.85,8.35,21, Hai Duong,Mien Bac
120232,120233,3.8,4.0,3.6,2.0,3.25,3.25,2.5,5.0,7.5,,9.05,10.3,11.5,11.4,9.4,21, Hai Duong,Mien Bac
120236,120237,4.2,5.75,4.4,3.75,3.75,3.25,2.5,5.0,7.25,,11.7,11.2,13.25,14.35,12.35,21, Hai Duong,Mien Bac
120238,120239,4.8,3.0,2.8,2.5,2.0,3.75,3.5,4.25,7.25,,9.3,10.55,10.75,10.6,10.1,21, Hai Duong,Mien Bac
120240,120241,4.0,3.0,3.2,3.0,2.75,2.75,4.25,6.75,7.5,,9.75,9.5,14.0,10.2,10.2,21, Hai Duong,Mien Bac
120242,120243,3.8,3.75,2.4,3.0,1.75,3.25,2.0,4.75,7.25,,8.55,8.8,10.5,9.95,9.2,21, Hai Duong,Mien Bac
120243,120244,3.0,3.5,2.4,2.5,2.75,3.25,3.5,3.25,3.25,,8.25,9.0,10.25,8.9,7.9,21, Hai Duong,Mien Bac
120244,120245,2.6,4.5,2.0,2.25,1.5,3.25,3.0,4.5,4.25,,6.35,7.35,12.0,9.1,6.85,21, Hai Duong,Mien Bac
120245,120246,4.0,4.75,2.8,2.75,2.75,2.25,2.25,4.5,7.0,,9.5,9.0,11.5,11.55,9.55,21, Hai Duong,Mien Bac
120246,120247,5.2,5.25,3.8,2.75,3.0,2.75,2.75,5.0,7.5,,10.95,10.95,13.0,14.25,11.75,21, Hai Duong,Mien Bac
120247,120248,2.6,4.25,2.6,4.25,2.75,3.0,2.0,3.75,6.25,,9.6,8.35,10.0,9.45,9.45,21, Hai Duong,Mien Bac
120329,120330,3.6,4.25,2.8,2.0,3.25,4.5,3.0,4.0,7.0,,8.85,11.35,11.25,10.65,8.4,21, Hai Duong,Mien Bac
120330,120331,1.4,2.5,3.2,2.75,2.0,3.0,3.5,3.25,3.0,,6.15,6.4,9.25,7.1,7.35,21, Hai Duong,Mien Bac
120333,120334,4.8,4.0,2.4,2.75,3.5,4.5,3.5,4.0,6.75,,11.05,12.8,11.5,11.2,9.95,21, Hai Duong,Mien Bac
120334,120335,2.8,4.5,2.4,3.5,2.0,2.5,2.0,5.0,6.0,,8.3,7.3,11.5,9.7,8.7,21, Hai Duong,Mien Bac
120335,120336,2.2,2.5,2.8,2.0,3.25,3.75,3.75,3.5,6.0,,7.45,9.2,9.75,7.5,7.0,21, Hai Duong,Mien Bac
120337,120338,3.8,5.25,2.6,3.5,3.0,4.25,2.75,5.5,6.0,,10.3,11.05,13.5,11.65,9.9,21, Hai Duong,Mien Bac
120393,120394,6.0,4.5,6.2,5.5,2.25,4.0,3.25,6.25,7.5,,13.75,12.25,14.0,16.7,17.7,21, Hai Duong,Mien Bac
120426,120427,2.6,5.25,3.0,2.25,2.5,2.75,3.25,5.0,7.75,,7.35,7.85,13.5,10.85,7.85,21, Hai Duong,Mien Bac
120428,120429,3.8,5.5,1.2,1.25,1.25,4.0,3.75,5.0,6.0,,6.3,9.05,14.25,10.5,6.25,21, Hai Duong,Mien Bac
120429,120430,3.0,2.5,3.2,1.75,3.0,2.0,3.0,3.5,5.5,,7.75,8.0,9.0,8.7,7.95,21, Hai Duong,Mien Bac
120465,120466,4.0,5.0,2.6,2.75,3.75,3.25,2.75,3.5,6.75,,10.5,11.0,11.25,11.6,9.35,21, Hai Duong,Mien Bac
120481,120482,2.8,3.25,2.0,2.25,3.5,3.5,2.0,5.0,6.5,,8.55,9.8,10.25,8.05,7.05,21, Hai Duong,Mien Bac
120483,120484,4.4,3.0,3.6,2.0,2.75,3.25,3.0,6.0,6.25,,9.15,10.4,12.0,11.0,10.0,21, Hai Duong,Mien Bac
120484,120485,3.4,3.75,2.2,3.0,3.0,4.0,4.25,6.25,7.25,,9.4,10.4,14.25,9.35,8.6,21, Hai Duong,Mien Bac
120485,120486,2.0,2.5,3.6,3.0,3.25,4.0,3.75,4.5,6.0,,8.25,9.25,10.75,8.1,8.6,21, Hai Duong,Mien Bac
120489,120490,2.8,5.0,2.4,4.0,2.75,3.75,2.0,4.5,4.25,,9.55,9.3,11.5,10.2,9.2,21, Hai Duong,Mien Bac
120494,120495,2.4,2.75,3.4,2.75,5.75,2.0,3.0,5.0,4.5,,10.9,10.15,10.75,8.55,8.55,21, Hai Duong,Mien Bac
120496,120497,3.2,3.5,2.2,2.25,3.25,3.25,3.0,4.75,6.0,,8.7,9.7,11.25,8.9,7.65,21, Hai Duong,Mien Bac
120498,120499,2.2,4.0,2.2,2.25,3.0,4.0,3.25,4.75,5.5,,7.45,9.2,12.0,8.4,6.65,21, Hai Duong,Mien Bac
120499,120500,2.4,3.75,2.0,1.5,1.75,4.25,3.5,4.5,6.25,,5.65,8.4,11.75,8.15,5.9,21, Hai Duong,Mien Bac
120510,120511,1.6,4.0,2.4,3.0,1.25,4.5,3.0,4.75,6.5,,5.85,7.35,11.75,8.0,7.0,21, Hai Duong,Mien Bac
120540,120541,3.2,3.0,3.0,3.75,2.5,2.75,3.5,5.0,7.25,,9.45,8.45,11.5,9.2,9.95,21, Hai Duong,Mien Bac
120543,120544,3.8,3.5,3.0,4.0,2.75,3.0,3.5,4.25,4.5,,10.55,9.55,11.25,10.3,10.8,21, Hai Duong,Mien Bac
120591,120592,3.0,5.0,2.8,1.75,2.25,3.75,4.0,5.25,6.25,,7.0,9.0,14.25,10.8,7.55,21, Hai Duong,Mien Bac
120592,120593,3.8,5.75,2.6,2.5,2.0,3.0,2.75,5.25,6.75,,8.3,8.8,13.75,12.15,8.9,21, Hai Duong,Mien Bac
120639,120640,5.2,7.5,3.8,5.0,5.5,4.5,4.0,7.0,8.0,,15.7,15.2,18.5,16.5,14.0,21, Hai Duong,Mien Bac
120640,120641,6.2,6.5,2.6,4.5,6.25,6.5,6.25,7.75,9.0,,16.95,18.95,20.5,15.3,13.3,21, Hai Duong,Mien Bac
120648,120649,6.0,7.5,3.0,2.75,3.5,4.0,4.25,6.0,7.5,,12.25,13.5,17.75,16.5,11.75,21, Hai Duong,Mien Bac
120649,120650,6.2,7.75,4.2,7.5,2.5,4.0,3.5,8.0,6.75,,16.2,12.7,19.25,18.15,17.9,21, Hai Duong,Mien Bac
120655,120656,6.2,7.0,3.0,5.0,6.25,4.5,4.0,5.75,7.0,,17.45,16.95,16.75,16.2,14.2,21, Hai Duong,Mien Bac
120682,120683,3.4,4.25,1.8,2.75,2.75,3.75,2.0,4.75,6.75,,8.9,9.9,11.0,9.45,7.95,21, Hai Duong,Mien Bac
120684,120685,3.6,7.0,3.6,1.5,3.0,3.0,2.5,5.5,7.75,,8.1,9.6,15.0,14.2,8.7,21, Hai Duong,Mien Bac
120685,120686,3.8,3.0,2.4,2.5,2.5,1.5,2.75,5.25,6.25,,8.8,7.8,11.0,9.2,8.7,21, Hai Duong,Mien Bac
120686,120687,1.4,4.0,2.6,2.0,2.0,2.75,3.25,3.75,6.75,,5.4,6.15,11.0,8.0,6.0,21, Hai Duong,Mien Bac
120687,120688,3.0,6.0,2.4,3.25,3.25,3.25,2.5,5.5,7.0,,9.5,9.5,14.0,11.4,8.65,21, Hai Duong,Mien Bac
120688,120689,5.0,6.0,1.8,3.5,3.75,4.75,5.0,5.5,9.25,,12.25,13.5,16.5,12.8,10.3,21, Hai Duong,Mien Bac
120692,120693,3.8,6.5,3.6,3.0,2.25,4.0,3.0,2.5,7.0,,9.05,10.05,12.0,13.9,10.4,21, Hai Duong,Mien Bac
120694,120695,4.0,5.5,2.0,1.5,3.0,2.75,2.0,4.25,5.0,,8.5,9.75,11.75,11.5,7.5,21, Hai Duong,Mien Bac
120746,120747,2.6,5.0,2.4,1.25,3.75,4.5,3.5,4.0,5.75,,7.6,10.85,12.5,10.0,6.25,21, Hai Duong,Mien Bac
120748,120749,2.6,4.5,2.2,2.75,4.0,4.25,2.0,3.75,6.0,,9.35,10.85,10.25,9.3,7.55,21, Hai Duong,Mien Bac
120749,120750,4.0,5.5,3.0,3.0,3.0,5.25,3.5,3.5,7.75,,10.0,12.25,12.5,12.5,10.0,21, Hai Duong,Mien Bac
120750,120751,5.0,2.75,3.4,2.75,1.75,3.0,3.5,5.5,5.5,,9.5,9.75,11.75,11.15,11.15,21, Hai Duong,Mien Bac
120751,120752,2.6,3.75,3.4,4.0,3.0,2.25,2.25,6.0,4.75,,9.6,7.85,12.0,9.75,10.0,21, Hai Duong,Mien Bac
120753,120754,1.8,2.75,2.4,2.0,2.25,3.0,3.0,2.5,3.25,,6.05,7.05,8.25,6.95,6.2,21, Hai Duong,Mien Bac
120756,120757,4.0,7.25,2.2,2.25,2.25,3.25,3.75,5.75,8.25,,8.5,9.5,16.75,13.45,8.45,21, Hai Duong,Mien Bac
120759,120760,2.0,3.75,1.6,1.25,2.5,3.5,3.25,5.75,5.75,,5.75,8.0,12.75,7.35,4.85,21, Hai Duong,Mien Bac
120762,120763,5.4,5.0,4.0,2.5,3.25,5.5,4.5,6.75,7.5,,11.15,14.15,16.25,14.4,11.9,21, Hai Duong,Mien Bac
120768,120769,6.8,6.25,3.6,5.0,5.25,4.5,4.25,5.5,7.25,,17.05,16.55,16.0,16.65,15.4,21, Hai Duong,Mien Bac
120793,120794,3.2,3.5,2.0,2.75,1.75,4.0,4.0,6.75,9.25,,7.7,8.95,14.25,8.7,7.95,21, Hai Duong,Mien Bac
120795,120796,1.4,4.5,2.8,2.75,2.75,4.0,3.5,4.5,6.5,,6.9,8.15,12.5,8.7,6.95,21, Hai Duong,Mien Bac
120796,120797,4.0,5.25,2.2,2.5,1.0,3.5,3.25,5.75,7.0,,7.5,8.5,14.25,11.45,8.7,21, Hai Duong,Mien Bac
120797,120798,4.6,6.25,2.8,2.0,2.25,4.25,3.75,6.5,7.25,,8.85,11.1,16.5,13.65,9.4,21, Hai Duong,Mien Bac
120798,120799,3.0,5.5,3.0,2.5,2.25,2.75,2.5,4.75,7.25,,7.75,8.0,12.75,11.5,8.5,21, Hai Duong,Mien Bac
120806,120807,7.4,7.0,6.8,7.5,7.25,3.75,4.0,5.25,6.5,,22.15,18.4,16.25,21.2,21.7,21, Hai Duong,Mien Bac
120810,120811,4.4,6.0,1.4,2.25,2.25,2.5,4.25,4.25,8.25,,8.9,9.15,14.5,11.8,8.05,21, Hai Duong,Mien Bac
120815,120816,3.4,4.25,2.4,2.0,1.75,4.5,3.75,3.75,6.0,,7.15,9.65,11.75,10.05,7.8,21, Hai Duong,Mien Bac
120816,120817,4.4,3.5,3.0,4.25,2.25,1.75,3.0,5.5,7.25,,10.9,8.4,12.0,10.9,11.65,21, Hai Duong,Mien Bac
120818,120819,4.2,4.0,1.4,2.0,3.0,3.5,3.25,4.0,6.5,,9.2,10.7,11.25,9.6,7.6,21, Hai Duong,Mien Bac
120819,120820,1.8,3.5,2.6,2.25,3.5,4.5,2.0,2.25,5.0,,7.55,9.8,7.75,7.9,6.65,21, Hai Duong,Mien Bac
120820,120821,4.6,5.0,3.8,2.0,3.0,3.0,4.75,4.75,5.75,,9.6,10.6,14.5,13.4,10.4,21, Hai Duong,Mien Bac
120821,120822,2.2,3.5,2.6,3.0,1.75,2.75,2.75,6.25,8.0,,6.95,6.7,12.5,8.3,7.8,21, Hai Duong,Mien Bac
120825,120826,4.4,5.25,3.6,3.0,4.75,4.5,3.25,4.5,5.0,,12.15,13.65,13.0,13.25,11.0,21, Hai Duong,Mien Bac
120826,120827,3.8,2.75,4.2,3.5,2.5,2.5,2.75,5.0,6.5,,9.8,8.8,10.5,10.75,11.5,21, Hai Duong,Mien Bac
120827,120828,3.2,4.5,2.8,2.25,4.25,2.5,2.5,5.0,5.75,,9.7,9.95,12.0,10.5,8.25,21, Hai Duong,Mien Bac
120829,120830,2.4,5.75,1.4,3.75,3.5,3.25,4.5,4.25,6.25,,9.65,9.15,14.5,9.55,7.55,21, Hai Duong,Mien Bac
120830,120831,4.6,5.5,2.6,2.75,1.75,3.0,4.0,5.75,6.25,,9.1,9.35,15.25,12.7,9.95,21, Hai Duong,Mien Bac
120831,120832,3.6,4.5,4.4,2.5,2.25,3.0,4.25,3.25,5.25,,8.35,8.85,12.0,12.5,10.5,21, Hai Duong,Mien Bac
120832,120833,5.8,7.25,3.6,3.75,1.75,4.5,4.5,6.25,8.25,,11.3,12.05,18.0,16.65,13.15,21, Hai Duong,Mien Bac
120839,120840,3.8,4.0,2.2,2.0,3.25,4.5,3.25,5.75,7.0,,9.05,11.55,13.0,10.0,8.0,21, Hai Duong,Mien Bac
120840,120841,4.0,3.25,2.6,3.0,2.25,5.0,4.25,5.0,8.0,,9.25,11.25,12.5,9.85,9.6,21, Hai Duong,Mien Bac
120842,120843,4.8,4.5,3.6,2.5,2.5,3.5,3.25,5.75,7.75,,9.8,10.8,13.5,12.9,10.9,21, Hai Duong,Mien Bac
120844,120845,4.0,4.75,2.2,1.75,1.75,4.0,3.25,5.25,6.0,,7.5,9.75,13.25,10.95,7.95,21, Hai Duong,Mien Bac
120876,120877,6.4,6.5,2.0,6.0,2.75,2.25,3.25,2.5,5.0,,15.15,11.4,12.25,14.9,14.4,21, Hai Duong,Mien Bac
120943,120944,2.8,1.5,2.4,3.25,2.0,2.25,3.0,4.5,4.5,,8.05,7.05,9.0,6.7,8.45,21, Hai Duong,Mien Bac
120999,121000,2.6,3.0,2.2,3.0,3.25,3.25,3.25,5.25,7.75,,8.85,9.1,11.5,7.8,7.8,21, Hai Duong,Mien Bac
121000,121001,2.8,3.75,2.0,2.75,1.75,2.75,2.5,3.5,5.25,,7.3,7.3,9.75,8.55,7.55,21, Hai Duong,Mien Bac
121011,121012,3.8,4.75,2.0,2.75,2.75,3.75,4.0,6.5,8.25,,9.3,10.3,15.25,10.55,8.55,21, Hai Duong,Mien Bac
121013,121014,3.6,3.5,2.0,2.75,1.5,3.5,4.25,4.25,8.0,,7.85,8.6,12.0,9.1,8.35,21, Hai Duong,Mien Bac
121014,121015,3.6,3.0,2.4,2.0,2.25,2.25,3.25,4.25,4.75,,7.85,8.1,10.5,9.0,8.0,21, Hai Duong,Mien Bac
121017,121018,2.8,2.0,4.2,1.75,2.75,1.5,2.5,3.75,5.25,,7.3,7.05,8.25,9.0,8.75,21, Hai Duong,Mien Bac
121020,121021,4.8,2.0,2.8,2.0,3.0,3.25,4.0,5.25,6.5,,9.8,11.05,11.25,9.6,9.6,21, Hai Duong,Mien Bac
121029,121030,3.2,3.0,4.6,2.75,2.75,2.75,4.5,5.75,8.0,,8.7,8.7,13.25,10.8,10.55,21, Hai Duong,Mien Bac
121052,121053,5.6,6.5,5.6,3.75,4.0,3.25,4.75,4.5,8.0,,13.35,12.85,15.75,17.7,14.95,21, Hai Duong,Mien Bac
121054,121055,5.0,2.75,3.4,1.25,1.75,3.25,3.5,6.25,8.5,,8.0,10.0,12.5,11.15,9.65,21, Hai Duong,Mien Bac
121075,121076,3.2,3.75,2.4,2.75,3.0,3.5,2.75,5.5,5.25,,8.95,9.7,12.0,9.35,8.35,21, Hai Duong,Mien Bac
121115,121116,8.2,9.0,8.6,6.0,3.25,4.25,5.0,6.75,9.0,,17.45,15.7,20.75,25.8,22.8,21, Hai Duong,Mien Bac
121158,121159,6.8,5.25,7.6,5.5,4.0,4.25,4.5,6.75,7.5,,16.3,15.05,16.5,19.65,19.9,21, Hai Duong,Mien Bac
121191,121192,4.4,5.25,1.8,3.75,1.75,2.25,4.25,5.0,7.0,,9.9,8.4,14.5,11.45,9.95,21, Hai Duong,Mien Bac
121195,121196,3.0,2.25,2.6,3.5,2.25,2.75,2.25,4.75,6.0,,8.75,8.0,9.25,7.85,9.1,21, Hai Duong,Mien Bac
121197,121198,1.6,5.0,2.8,2.75,1.75,5.0,3.75,5.75,6.75,,6.1,8.35,14.5,9.4,7.15,21, Hai Duong,Mien Bac
121198,121199,4.0,6.25,4.4,2.5,2.75,4.5,3.5,6.75,7.5,,9.25,11.25,16.5,14.65,10.9,21, Hai Duong,Mien Bac
121200,121201,5.0,5.75,4.2,2.75,3.0,3.5,4.0,6.25,8.0,,10.75,11.5,16.0,14.95,11.95,21, Hai Duong,Mien Bac
121201,121202,3.2,1.75,2.4,1.5,2.25,2.5,2.0,2.5,5.0,,6.95,7.95,6.25,7.35,7.1,21, Hai Duong,Mien Bac
121204,121205,5.0,7.5,3.0,2.5,2.75,4.75,4.0,4.25,7.75,,10.25,12.5,15.75,15.5,10.5,21, Hai Duong,Mien Bac
121235,121236,4.6,3.75,2.2,2.25,3.0,3.75,4.25,5.75,6.75,,9.85,11.35,13.75,10.55,9.05,21, Hai Duong,Mien Bac
121236,121237,3.6,3.75,1.8,4.75,2.0,3.25,3.0,4.5,6.75,,10.35,8.85,11.25,9.15,10.15,21, Hai Duong,Mien Bac
121239,121240,2.8,3.25,1.8,2.5,2.25,2.25,3.25,4.5,5.0,,7.55,7.3,11.0,7.85,7.1,21, Hai Duong,Mien Bac
121241,121242,4.8,8.25,3.4,4.75,3.5,2.5,3.25,4.25,8.0,,13.05,10.8,15.75,16.45,12.95,21, Hai Duong,Mien Bac
121275,121276,2.6,2.0,2.6,1.75,2.0,3.25,3.0,4.75,6.5,,6.35,7.85,9.75,7.2,6.95,21, Hai Duong,Mien Bac
121276,121277,3.4,3.5,3.4,2.75,3.75,2.75,2.75,1.0,4.75,,9.9,9.9,7.25,10.3,9.55,21, Hai Duong,Mien Bac
121279,121280,2.6,3.5,3.0,3.75,3.0,3.25,2.75,5.25,6.25,,9.35,8.85,11.5,9.1,9.35,21, Hai Duong,Mien Bac
121281,121282,3.6,2.25,2.6,1.5,1.75,2.25,3.5,5.0,7.0,,6.85,7.6,10.75,8.45,7.7,21, Hai Duong,Mien Bac
121282,121283,3.0,4.75,2.6,2.75,1.5,2.75,1.25,4.5,6.25,,7.25,7.25,10.5,10.35,8.35,21, Hai Duong,Mien Bac
121284,121285,3.2,4.75,4.0,3.75,2.75,4.0,2.25,5.0,7.25,,9.7,9.95,12.0,11.95,10.95,21, Hai Duong,Mien Bac
121287,121288,4.0,4.5,2.4,2.25,2.75,2.5,2.75,5.75,4.25,,9.0,9.25,13.0,10.9,8.65,21, Hai Duong,Mien Bac
121288,121289,3.4,3.25,2.4,2.0,2.75,3.75,3.25,5.5,6.0,,8.15,9.9,12.0,9.05,7.8,21, Hai Duong,Mien Bac
121338,121339,5.4,6.5,4.4,3.75,3.5,3.0,1.75,3.25,6.0,,12.65,11.9,11.5,16.3,13.55,21, Hai Duong,Mien Bac
121363,121364,6.8,7.0,8.0,5.75,5.75,6.0,4.25,8.0,6.5,,18.3,18.55,19.25,21.8,20.55,21, Hai Duong,Mien Bac
121404,121405,8.0,6.5,8.2,7.75,1.5,4.75,5.5,8.0,8.75,,17.25,14.25,20.0,22.7,23.95,21, Hai Duong,Mien Bac
121437,121438,6.0,6.5,3.6,4.0,5.0,3.25,4.0,6.0,6.0,,15.0,14.25,16.5,16.1,13.6,21, Hai Duong,Mien Bac
121441,121442,4.6,3.5,3.6,4.25,2.75,4.5,4.25,5.0,7.0,,11.6,11.85,12.75,11.7,12.45,21, Hai Duong,Mien Bac
121446,121447,3.4,5.0,2.4,2.5,2.25,3.5,3.0,4.75,5.25,,8.15,9.15,12.75,10.8,8.3,21, Hai Duong,Mien Bac
121447,121448,2.0,5.5,2.6,3.0,3.25,2.75,3.25,3.75,6.75,,8.25,8.0,12.5,10.1,7.6,21, Hai Duong,Mien Bac
121457,121458,2.2,2.0,4.2,2.75,2.0,2.5,3.0,2.0,3.0,,6.95,6.7,7.0,8.4,9.15,21, Hai Duong,Mien Bac
121459,121460,3.6,5.25,2.0,3.0,1.75,3.0,3.0,4.0,7.5,,8.35,8.35,12.25,10.85,8.6,21, Hai Duong,Mien Bac
121491,121492,3.0,5.25,3.6,3.0,3.5,4.75,5.0,6.25,7.75,,9.5,11.25,16.5,11.85,9.6,21, Hai Duong,Mien Bac
121532,121533,2.0,3.0,3.0,2.5,3.25,2.5,3.0,3.25,6.5,,7.75,7.75,9.25,8.0,7.5,21, Hai Duong,Mien Bac
121533,121534,4.6,7.0,3.8,1.75,2.5,4.0,3.75,4.75,7.75,,8.85,11.1,15.5,15.4,10.15,21, Hai Duong,Mien Bac
121534,121535,2.6,3.0,1.8,2.75,2.25,1.5,2.25,5.25,6.25,,7.6,6.35,10.5,7.4,7.15,21, Hai Duong,Mien Bac
121538,121539,4.0,3.75,3.0,3.0,3.25,4.5,2.75,3.75,5.0,,10.25,11.75,10.25,10.75,10.0,21, Hai Duong,Mien Bac
121539,121540,3.0,6.75,2.6,2.75,2.0,3.0,3.25,4.25,8.0,,7.75,8.0,14.25,12.35,8.35,21, Hai Duong,Mien Bac
121540,121541,3.8,3.25,3.4,4.0,3.0,2.5,3.5,3.75,6.5,,10.8,9.3,10.5,10.45,11.2,21, Hai Duong,Mien Bac
121541,121542,3.2,6.5,2.4,2.0,4.0,3.75,3.5,4.75,7.75,,9.2,10.95,14.75,12.1,7.6,21, Hai Duong,Mien Bac
121542,121543,4.6,7.0,1.8,2.5,4.5,4.0,4.5,6.0,8.25,,11.6,13.1,17.5,13.4,8.9,21, Hai Duong,Mien Bac
121543,121544,2.8,3.25,3.2,1.75,4.25,4.5,2.75,5.75,6.75,,8.8,11.55,11.75,9.25,7.75,21, Hai Duong,Mien Bac
121544,121545,3.4,3.25,3.0,3.5,4.0,3.5,3.5,4.75,6.0,,10.9,10.9,11.5,9.65,9.9,21, Hai Duong,Mien Bac
121550,121551,1.8,4.25,3.6,2.75,3.75,4.0,2.25,4.75,6.75,,8.3,9.55,11.25,9.65,8.15,21, Hai Duong,Mien Bac
121553,121554,5.2,4.25,3.2,5.25,6.0,4.0,4.25,6.75,6.25,,16.45,15.2,15.25,12.65,13.65,21, Hai Duong,Mien Bac
121564,121565,6.2,5.5,1.8,4.0,3.5,3.0,4.0,5.75,8.5,,13.7,12.7,15.25,13.5,12.0,21, Hai Duong,Mien Bac
121600,121601,3.0,4.5,2.0,2.25,3.5,4.0,2.25,4.0,4.0,,8.75,10.5,10.75,9.5,7.25,21, Hai Duong,Mien Bac
121601,121602,3.0,4.75,3.8,2.5,2.0,4.0,2.0,4.75,7.0,,7.5,9.0,11.5,11.55,9.3,21, Hai Duong,Mien Bac
121613,121614,6.6,5.25,6.6,7.25,3.5,4.5,4.0,5.75,6.5,,17.35,14.6,15.0,18.45,20.45,21, Hai Duong,Mien Bac
